1,2,3,4,5,6,7,8,9,10
606,1198,561,40,4974,105,21,4962,2711,709
6249,380,184,105,4670,4108,3165,2664,217,2079
3124,1325,2776,8773,2711,380,739,1096,3493,1519
3124,5109,4837,51,1513,3952,2776,1518,3400,10199
2711,1096,3918,5992,380,3124,2776,7758,3458,3940
748,2711,739,7218,606,3223,4867,772,139,7870
3478,2711,380,748,1699,686,139,75,739,60
380,2079,2711,2058,4963,3951,1675,539,1700,1519
3951,335,304,2711,184,684,1940,606,539,2007
3458,2578,2711,8840,4610,3166,1829,709,1063,6767
1096,3782,2711,3918,78,75,1699,140,5858,3951
3952,139,5084,2607,3458,1519,1198,60,42,380
3223,1133,2428,1264,772,2969,84,3918,3166,2758
2091,144,6102,3378,1203,2324,4366,1198,3861,7353
380,772,139,140,1325,606,75,2434,3166,1198
380,14,9507,1325,690,3057,140,8173,3124,1139
3743,15136,1516,4751,6917,1513,2408,728,6264,4762
3581,8999,11493,13290,1933,8788,972,1938,10407,9396
2952,2182,772,14,2758,1325,3951,9449,5726,1198
606,2776,2711,2969,380,140,1325,4438,21,6102
3606,5707,1198,6457,9449,601,1063,7278,772,665
380,3057,2102,7463,14,1519,1325,1198,3124,3458
2711,4610,1096,60,1483,918,140,4783,1513,380
2711,1675,6249,3458,380,3918,21,8533,7353,772
1699,21,2102,1829,2607,2711,772,2776,2007,1096
739,1325,3441,9449,8773,6249,3940,3223,14,601
1096,13420,9449,2776,372,2492,2711,606,6102,3606
380,1198,3124,2776,9449,606,6249,2102,3441,6767
84,139,60,14,78,380,690,601,3197,1198
1096,3606,977,12994,3691,5648,3493,924,4896,186
748,2711,1940,11140,3743,272,105,518,709,3951
380,3458,1198,2776,189,140,3951,60,748,4963
772,3458,3951,989,2711,4433,606,5109,3187,1467
2711,5084,523,1325,1829,12624,372,3951,3273,3266
380,5239,388,601,1932,2079,4896,186,627,9449
2776,3951,6249,140,1699,1096,3458,3378,5864,606
21,140,380,709,2607,3918,9449,586,3799,139
1699,2711,3378,8173,3291,6063,21,14091,3223,8773
380,260,2079,606,2969,388,186,8533,184,60
7519,4751,9507,3438,586,4610,5864,6927,946,1198
2711,1519,686,5992,219,3951,482,2578,1198,140
380,3918,2711,219,1904,1198,4657,561,4783,21
2711,3813,2007,974,3057,4916,690,388,3124,140
1198,2578,75,219,2611,1513,4974,3223,8840,5107
2428,2776,2415,3291,6249,6518,4438,2938,4960,2102
3940,1198,75,1325,482,3458,3799,586,60,6745
535,7730,4207,2711,6249,1193,7195,2776,8027,4732
1198,380,60,3940,606,772,139,7519,5844,3223
586,3951,380,2776,1519,1325,5864,12624,1198,3458
5829,3880,2890,284,4411,2862,2851,5155,272,1245
7416,6249,3680,4948,518,3918,1198,4748,733,1727
8338,1471,5680,184,7947,1513,3266,140,1483,4411
1325,380,2711,1198,42,2776,219,772,139,606
4601,3596,5726,14983,2611,1186,8533,709,6455,4360
380,1198,219,3458,75,606,7519,2776,3357,349
2711,380,2776,9449,1198,739,139,60,6249,3951
2079,1096,186,3458,105,380,3918,1325,219,2776
606,2711,3124,60,4962,184,304,380,1198,4108
1198,380,686,2711,3057,1325,3951,3458,3478,9449
3306,606,3940,1008,2102,105,688,2591,1675,3223
1198,380,75,349,3606,45,139,1264,7416,3478
3918,1198,139,5992,380,606,1264,4610,219,2415
4645,10045,10249,1246,5858,2758,1063,45,4601,5820
709,3951,2415,380,2867,7870,1325,4645,2428,2711
380,1198,2711,12220,3918,709,3124,2079,2578,775
380,3223,2776,52,45,5109,709,335,4108,1325
1711,4681,11267,7353,4390,630,10249,3918,6044,3458
380,3458,2578,6102,5726,8773,3478,60,5844,709
1516,1264,3768,7011,5992,9400,6821,1325,5996,1198
2711,21,3918,772,380,139,606,1198,5864,1096
