1,2,3,4,5,6,7,8,9,10
4360,105,3918,4784,7729,4172,3166,1156,3378,240
105,380,1198,42,219,2079,2711,2776,4108,1519
3940,60,3458,2434,2428,1139,686,1854,1198,1325
709,3124,75,3951,1198,42,2711,2776,5084,140
140,1063,139,380,3458,772,3166,775,1325,349
1519,60,8773,5084,709,380,2079,186,105,1483
1829,539,4962,96,1198,1904,9449,5844,3166,482
105,219,1904,42,1198,75,140,606,3166,380
2711,9449,8173,139,3223,601,1325,2415,380,1829
380,7758,2711,5844,21,6249,3124,14,105,4108
7413,1568,7186,3952,3327,3559,929,927,4706,13126
772,380,139,2969,189,140,240,105,1096,60
140,3951,3124,380,612,3989,1264,2711,1246,2776
2711,380,4916,3918,709,42,105,1325,606,140
380,60,335,1829,2102,2007,3197,42,1325,87
6499,16265,2664,5106,4280,717,5992,1332,8027,4610
60,1198,380,3458,3951,4601,3940,3441,8773,772
105,6351,5820,4221,697,772,4601,11992,1416,688
380,2776,1198,1325,5864,21,42,140,3454,709
42,3952,1198,219,2079,6102,3458,4783,756,2969
2079,772,139,2711,380,42,1699,4610,5726,1264
1198,380,2711,75,2758,42,3458,16,3989,140
139,140,380,1325,42,219,21,2776,3458,772
1325,3166,139,380,140,398,2102,5084,8173,3357
105,380,1198,219,3918,2711,42,1519,140,1096
4884,801,697,9306,709,5239,11385,1940,2711,748
105,78,2711,1198,5844,219,380,186,1096,2776
1198,380,9507,1781,5864,756,219,709,1513,3124
4916,9449,139,772,2428,78,612,380,60,3020
1198,3458,772,380,16,4610,3057,7519,1325,60
140,1198,1904,5239,1516,380,1834,3238,709,5648
1198,380,3951,2711,772,78,5084,3124,140,1063
380,2711,1198,709,219,1699,3918,4390,8846,606
380,1096,3918,2711,3606,3166,1325,9449,6249,2776
3124,380,2711,2776,2079,606,2969,1513,924,4916
380,3223,3940,140,1198,1325,1516,3478,739,7278
946,4963,45,2485,1793,1519,151,2492,11028,4438
380,1198,2711,335,2492,1483,139,2102,75,42
380,2578,105,7758,219,709,4108,1325,4499,260
219,3478,606,1513,2711,1325,1700,3606,772,335
140,1096,380,772,5844,1325,219,42,1700,3441
1096,380,42,6102,2591,21,2969,709,52,1513
1325,105,2079,380,9449,1198,139,42,3441,140
380,1198,140,2776,4916,606,709,9507,8773,772
2758,4610,709,540,2711,1325,42,60,14,1519
772,380,612,139,686,748,5858,2711,3441,1198
87,1198,380,1483,2776,2711,606,9449,665,1096
1198,380,2776,140,1829,3166,3458,709,2969,1096
380,42,5844,105,561,140,3124,3918,139,1198
3449,709,3918,4669,3478,1325,3357,1519,1389,105
775,1519,2776,380,539,8533,184,3124,217,540
380,2711,606,60,139,1198,5239,1096,372,775
380,3952,3166,9449,2244,105,4657,7758,918,6102
2711,2776,3951,1096,380,1519,3458,140,14,3606
380,1198,42,219,105,3918,1519,78,3458,1264
21,380,2079,240,14,614,140,1198,3975,4212
2711,140,260,1096,380,775,1519,4963,186,105
3782,1246,8987,2711,6927,974,2758,567,1781,1483
380,2758,2079,1198,2711,4916,3124,2969,1483,184
1519,7519,686,1325,75,2711,140,380,219,6249
2711,380,2776,739,60,3223,1325,1198,772,9449
1198,1096,4610,2711,1325,2079,105,9507,21,380
3478,9449,1063,3124,380,2711,1198,14,2776,1325
1416,946,3568,665,240,2492,7528,7539,9844,1086
1325,380,3458,186,3940,139,4963,219,2711,684
2776,5864,380,7519,105,140,3124,3478,3458,219
380,2711,9449,3458,219,21,1325,1096,2776,3124
1325,3940,3057,1198,9507,380,140,2102,3441,8173
42,1325,3458,219,2102,380,4963,1467,140,139
5648,3124,606,739,105,2711,8533,219,3940,5239
335,4390,139,3940,1325,380,3458,3441,7353,1389
380,140,1198,1325,3124,2776,1096,3918,42,21
380,1198,349,4916,4610,2711,140,3940,6249,9449
2711,606,105,739,380,1519,2079,1675,11028,748
380,3458,4916,6102,772,1198,2776,2711,3918,3124
1198,1096,219,2711,380,606,1829,75,2776,775
2711,380,105,539,2079,4706,1198,606,1675,1513
60,772,5819,3606,4569,4390,877,6821,1117,6249
3124,2711,6102,1096,1516,3166,3951,304,2776,9449
380,2711,2758,2079,1198,3124,304,606,42,3166
380,1198,2711,140,6102,772,1325,2428,3057,12220
42,380,105,1519,2079,4657,2711,304,1096,140
1325,709,1829,186,52,2006,748,2792,139,140
380,2776,52,2711,1829,140,1096,5239,335,8773
